ball,name,vendor_type,electrical_type,unit,unit_title,group,supply,source_row,correction,mux
AB2,MICIN2P,AI,input,J,Audio / ADC,Audio Codec,AVCC,145,,
AB13,VCC-PLL,P,power_in,C,System / clocks / boot,RTC&PLL,N/A,94,,
AB28,SDQS0P,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,67,,
AB29,SDQS0N,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,68,,
AC1,MICIN3N,AI,input,J,Audio / ADC,Audio Codec,AVCC,148,,
AC2,MICIN3P,AI,input,J,Audio / ADC,Audio Codec,AVCC,147,,
AC3,VRA2,AO,output,J,Audio / ADC,Audio Codec,AVCC,161,,
AC4,VRA1,AO,output,J,Audio / ADC,Audio Codec,AVCC,160,,
AC5,CPVEE,P,power_out,J,Audio / ADC,Audio Codec,N/A,163,,
AC7,VCC-PM,P,power_in,G,GPIO K / L / M,Port M,N/A,358,,
AC9,PL10,I/O,bidirectional,G,GPIO K / L / M,Port L,VCC-PL,346,,2:S-PWM0-0; 4:S-RJTAG-DO; 5:S-DMIC-DATA0; 6:S-SPI0-CS0; 14:PL-EINT10
AC11,RESET,"I/O, OD",bidirectional,C,System / clocks / boot,System,VCC-RTC,87,,
AC13,GND,G,power_in,M,Digital ground 2,Ground,N/A,484,,
AC15,SDQ24,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,55,,
AC17,SDQ23,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,54,,
AC19,SRST,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,77,,
AC21,GND,G,power_in,M,Digital ground 2,Ground,N/A,485,,
AC24,GND,G,power_in,M,Digital ground 2,Ground,N/A,486,,
AC25,SA10,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,13,,
AC26,SA1,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,4,,
AC27,GND,G,power_in,M,Digital ground 2,Ground,N/A,487,,
AC28,SDQ2,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,33,,
AC29,GND,G,power_in,M,Digital ground 2,Ground,N/A,488,,
AD1,LINEOUTLN,AO,output,J,Audio / ADC,Audio Codec,AVCC,150,,
AD2,LINEOUTLP,AO,output,J,Audio / ADC,Audio Codec,AVCC,149,,
AD7,GND,G,power_in,M,Digital ground 2,Ground,N/A,489,,
AD9,PL11,I/O,bidirectional,G,GPIO K / L / M,Port L,VCC-PL,347,,2:S-IR-RX; 4:S-RJTAG-DI; 5:S-DMIC-DATA1; 6:S-SPI0-CLK; 14:PL-EINT11
AD11,NMI,"I/O, OD",bidirectional,C,System / clocks / boot,System,VCC-RTC,86,,
AD13,PLLTEST,"AO, OD",open_collector,C,System / clocks / boot,RTC&PLL,VCC-PLL,92,,
AD15,SDQ25,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,56,,
AD17,SDQ31,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,62,,
AD19,SDQ18,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,49,,
AD21,SA4,O,output,B,DRAM address / control / power,SDRAM,VCC-DRAM/VCC-DRAML,7,,
AD23,GND,G,power_in,M,Digital ground 2,Ground,N/A,490,,
AD28,GND,G,power_in,M,Digital ground 2,Ground,N/A,491,,
AD29,SDQ3,I/O,bidirectional,A,DRAM data,SDRAM,VCC-DRAM/VCC-DRAML,34,,
AE1,LINEOUTRN,AO,output,J,Audio / ADC,Audio Codec,AVCC,152,,
AE2,LINEOUTRP,AO,output,J,Audio / ADC,Audio Codec,AVCC,151,,
AE3,ALDO-OUT,P,power_out,J,Audio / ADC,Audio Codec,N/A,166,,
AE4,VEE,P,power_in,J,Audio / ADC,Audio Codec,N/A,168,,
AE5,CPVDD,P,power_out,J,Audio / ADC,Audio Codec,N/A,162,,
